wallet,raw_score,credit_score
0x003ae57782ab0f390908f8d7a3a9680bcfc62ec0,1.1957297764171021e-20,471
0x003ae6c26a2655eb54c1e53b03a266d97f3512e6,2.291834093548077e-06,471
0x003b2816d976cebbf0cadec981ff59286b6d7f2f,8.044235659084378e-19,471
0x003be39433bde975b12411fbc3025d49d813a84f,-0.30000000000000004,118
0x003cb0842811db8d115e28f13048dd83db391dcb,9.232485211671626e-21,471
0x003dc03b7d7fe265e1c1db88bb1c6b1e6bcd06a7,3.5818217475920715e-11,471
0x003e41b4f19f27ab2a07c19abe2d99ecb492ce62,0.29833813591669645,822
0x003e9a119439ef34de3237034cee95675b01d5d4,0.12097159985001338,613
0x003ed65a094ef804c934f2427b601e03113882ff,1.135560944226326e-12,471
0x003edfecb016131dbd485c72f3b6f2e98a1429d9,5.913114052584911e-06,471
0x003f705c2e62e268891d8aa2724e32f2176dc963,5.67780472113163e-08,471
0x00402e826833fbeb6f67072f3df3c8554a0b10e6,0.1493766364394771,647
0x00405f7b768a9a6b81e8060a17f0550501acf6be,1.7079745317343926e-16,471
0x0040932d4c252856709b24dc406244392d3df400,5.547557016389814e-20,471
0x0040daac32d83c78546ae36da42a496b28ab09e1,6.563542257628164e-06,471
0x00418b8ea6c6e2d5676f651bf76a368adb845e91,2.838902360565815e-09,471
